Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsion,Total,Anio
2000-01-01,0.0,48446.0,296766.99,0.0,0.0,0.0,0.0,194410.476190476,1426.0,202645.2,308156.82,0.0,64026.09,0.0,0.0,0.0,0.0,0.0,0.0,634667.06,0.0,1750544.63619048,2000
2000-02-01,0.0,50597.0,328116.44,0.0,0.0,0.0,0.0,174710.552380952,1458.0,205530.96,307766.31,0.0,62660.3,0.0,0.0,0.0,0.0,0.0,0.0,642380.66,0.0,1773220.22238095,2000
2000-03-01,0.0,27593.0,368589.63,0.0,0.0,0.0,0.0,189234.066666667,1503.0,229499.56,331910.29,0.0,61361.99,0.0,0.0,0.0,0.0,0.0,0.0,699807.25,0.0,1909498.78666667,2000
2000-04-01,0.0,53794.0,396300.47,0.0,0.0,0.0,0.0,174330.607142857,1561.0,210680.4,315648.08,0.0,61814.32,0.0,0.0,0.0,0.0,0.0,0.0,586803.98,0.0,1800932.85714286,2000
2000-05-01,0.0,60137.0,449368.92,0.0,0.0,0.0,0.0,191745.147619048,1642.0,208164.34,319667.97,0.0,54098.32,0.0,0.0,0.0,0.0,0.0,0.0,656948.2,0.0,1941771.89761905,2000
2000-06-01,0.0,40623.0,404033.69,0.0,0.0,0.0,0.0,196321.933333333,1641.0,195088.74,300347.7,0.0,60390.32,0.0,0.0,0.0,0.0,0.0,0.0,570919.88,0.0,1769366.26333333,2000
2000-07-01,0.0,36670.0,291436.2,0.0,0.0,0.0,0.0,192344.502380952,1598.0,204556.77,308305.93,0.0,61931.56,0.0,0.0,0.0,0.0,0.0,0.0,576436.02,0.0,1673278.98238095,2000
2000-08-01,0.0,25033.0,373811.63,0.0,0.0,0.0,0.0,203727.080952381,1438.0,218388.51,323011.86,0.0,70821.94,0.0,0.0,0.0,0.0,0.0,0.0,593770.77,0.0,1810002.79095238,2000
2000-09-01,0.0,16906.0,322718.89,0.0,0.0,0.0,0.0,194565.097619048,1469.0,213906.96,326455.72,0.0,58960.01,0.0,0.0,0.0,0.0,0.0,0.0,590145.4,0.0,1725127.07761905,2000
2000-10-01,0.0,22070.0,260955.42,0.0,0.0,0.0,0.0,210261.826190476,1475.0,213606.65,323843.63,0.0,63794.12,0.0,0.0,0.0,0.0,0.0,0.0,641113.36,0.0,1737120.00619048,2000
2000-11-01,0.0,25659.0,310274.26,0.0,0.0,0.0,0.0,205027.952619048,1498.0,209227.48,320788.08,0.0,65733.0,0.0,0.0,0.0,0.0,0.0,0.0,657086.3,0.0,1795294.07261905,2000
2000-12-01,0.0,20430.0,284045.83,0.0,0.0,0.0,0.0,200247.555,1501.0,230020.7,366987.56,0.0,68848.5,0.0,0.0,0.0,0.0,0.0,0.0,673282.26,0.0,1845363.405,2000
2001-01-01,0.0,30002.215,399107.633015872,0.0,0.0,0.0,0.0,179405.990277778,1755.58333333333,164547.351666667,300242.781666666,0.0,69691.2508333333,0.0,0.0,0.0,0.0,0.0,0.0,569328.78702381,0.0,1714081.59281746,2001
2001-02-01,0.0,34407.565,404897.003492063,0.0,0.0,0.0,0.0,167818.137896825,1510.58333333333,174838.811666667,301483.401666666,0.0,56326.4208333333,0.0,0.0,0.0,0.0,0.0,0.0,597749.831785715,0.0,1739031.7556746,2001
2001-03-01,0.0,32274.675,406269.275396824,0.0,0.0,0.0,0.0,186397.325992064,1602.58333333333,201992.651666667,355572.831666666,0.0,68208.9908333333,0.0,0.0,0.0,0.0,0.0,0.0,736085.973214286,0.0,1988404.30710317,2001
2001-04-01,0.0,26986.955,397689.219682539,0.0,0.0,0.0,0.0,175820.345039683,1355.58333333333,198683.391666667,355826.761666666,0.0,66697.9008333333,0.0,0.0,0.0,0.0,0.0,0.0,606257.658928572,0.0,1829317.81615079,2001
2001-05-01,0.0,29776.715,494837.728253967,0.0,0.0,0.0,0.0,178303.330753968,1273.58333333333,182504.091666667,336040.041666666,0.0,61641.6308333333,0.0,0.0,0.0,0.0,0.0,0.0,664082.6575,0.0,1948459.77900793,2001
2001-06-01,0.0,26759.215,385382.016349205,0.0,0.0,0.0,0.0,177826.928373016,1171.58333333333,201379.481666667,308804.701666666,0.0,57796.0908333333,0.0,0.0,0.0,0.0,0.0,0.0,559333.033690476,0.0,1718453.0509127,2001
2001-07-01,0.0,24312.285,482085.373968253,0.0,0.0,0.0,0.0,191041.990277778,1637.58333333333,214980.241666667,350501.971666667,0.0,67033.4508333333,0.0,0.0,0.0,0.0,0.0,0.0,589452.734642858,0.0,1921045.63138889,2001
2001-08-01,0.0,25225.995,470955.273968253,0.0,0.0,0.0,0.0,190295.990277778,1412.58333333333,204646.771666667,348414.651666666,0.0,64093.2908333333,0.0,0.0,0.0,0.0,0.0,0.0,568546.374642857,0.0,1873590.93138889,2001
2001-09-01,0.0,20603.095,387235.783968253,0.0,0.0,0.0,0.0,184039.990277778,1710.58333333333,188292.351666667,324393.961666666,0.0,51773.0408333333,0.0,0.0,0.0,0.0,0.0,0.0,533108.394642857,0.0,1691157.20138889,2001
2001-10-01,0.0,29817.095,412617.563968253,0.0,0.0,0.0,0.0,206176.990277778,1102.58333333333,225240.951666667,366261.631666666,0.0,56193.3108333333,0.0,0.0,0.0,0.0,0.0,0.0,603371.184642857,0.0,1900781.31138889,2001
2001-11-01,0.0,22299.095,606966.563968253,0.0,0.0,0.0,0.0,201335.990277778,1791.58333333333,210324.951666667,351890.631666666,0.0,53500.3108333333,0.0,0.0,0.0,0.0,0.0,0.0,626156.184642857,0.0,2074265.31138889,2001
2001-12-01,0.0,19283.095,402835.563968253,0.0,0.0,0.0,0.0,209792.990277778,979.583333333333,223209.951666667,403561.631666666,0.0,60508.3108333333,0.0,0.0,0.0,0.0,0.0,0.0,664190.184642857,0.0,1984361.31138889,2001
2002-01-01,0.0,16971.6566666667,512580.546666667,0.0,0.0,0.0,0.0,196068.608730159,1722.91666666667,200309.851666667,368935.525833333,0.0,51969.7675,0.0,0.0,0.0,37593.9783333334,0.0,0.0,726672.599166666,0.0,2112825.45123016,2002
2002-02-01,0.0,22834.5366666667,506069.626666667,0.0,0.0,0.0,0.0,180209.801587302,923.916666666667,183119.341666667,348917.785833333,0.0,42796.9175,0.0,0.0,0.0,85710.7483333334,0.0,0.0,694344.779166666,0.0,2064927.4540873,2002
2002-03-01,0.0,22891.1866666667,446878.066666667,0.0,0.0,0.0,0.0,186680.965873016,1082.91666666667,212711.711666667,385044.965833333,0.0,53352.8575,0.0,0.0,0.0,64873.7283333334,0.0,0.0,656379.289166666,0.0,2029895.68837302,2002
2002-04-01,0.0,35584.5366666667,450736.256666667,0.0,0.0,0.0,0.0,196167.161111111,1295.91666666667,204765.621666667,379741.975833333,0.0,51056.1375,0.0,0.0,0.0,40923.4683333334,0.0,0.0,683646.169166666,0.0,2043917.24361111,2002
2002-05-01,0.0,27945.5866666667,539547.906666667,0.0,0.0,0.0,0.0,201612.356349206,1671.91666666667,201083.511666667,375054.635833333,0.0,52716.5475,0.0,0.0,0.0,62407.6683333334,0.0,0.0,707165.469166666,0.0,2169205.59884921,2002
2002-06-01,0.0,20228.0366666667,456986.266666667,0.0,0.0,0.0,0.0,193024.399206349,638.916666666667,187629.421666667,371138.585833333,0.0,50501.3475,0.0,0.0,0.0,22963.6183333334,0.0,0.0,667820.709166666,0.0,1970931.30170635,2002
2002-07-01,0.0,14042.2666666667,492323.436666667,0.0,0.0,0.0,0.0,204196.244444444,2062.91666666667,201692.641666667,399944.645833333,0.0,55179.8175,0.0,0.0,0.0,48749.8983333334,0.0,0.0,656761.599166666,0.0,2074953.46694444,2002
2002-08-01,0.0,13715.9166666667,429935.506666667,0.0,0.0,0.0,0.0,213625.432539683,1825.91666666667,205240.771666667,392355.615833333,0.0,51119.7875,0.0,0.0,0.0,13351.5783333334,0.0,0.0,657099.739166666,0.0,1978270.26503968,2002
2002-09-01,0.0,13512.8666666667,381600.336666667,0.0,0.0,0.0,0.0,209849.758730159,1416.91666666667,177614.801666667,347191.435833333,0.0,46923.9675,0.0,0.0,0.0,49713.5783333334,0.0,0.0,653664.599166666,0.0,1881488.26123016,2002
2002-10-01,0.0,10066.2666666667,320349.206666667,0.0,0.0,0.0,0.0,212932.327777778,1834.91666666667,203097.241666667,381595.195833333,0.0,61834.3775,0.0,0.0,0.0,40876.5783333334,0.0,0.0,653053.269166666,0.0,1885639.38027778,2002
2002-11-01,0.0,16772.0766666667,438764.896666667,0.0,0.0,0.0,0.0,210000.546825397,1552.91666666667,207629.811666667,384334.215833333,0.0,50783.1975,0.0,0.0,0.0,43455.5783333334,0.0,0.0,671401.329166666,0.0,2024694.5693254,2002
2002-12-01,0.0,13946.0666666667,490960.946666667,0.0,0.0,0.0,0.0,223830.396825397,1397.91666666667,199619.271666667,400645.415833333,0.0,55123.2775,0.0,0.0,0.0,52341.5783333334,0.0,0.0,676192.449166666,0.0,2114057.3193254,2002
2003-01-01,0.0,19127.77,459765.4,0.0,0.0,0.0,0.0,213268.978571429,2009.0,193713.62,376516.58,0.0,55260.55,0.0,0.0,0.0,23392.0,0.0,0.0,769843.3,0.0,2112897.19857143,2003
2003-02-01,0.0,34700.38,377181.42,0.0,0.0,0.0,0.0,206815.011904762,1166.0,184354.61,355760.81,0.0,45243.65,0.0,0.0,0.0,61772.0,0.0,0.0,709783.58,0.0,1976777.46190476,2003
2003-03-01,0.0,56138.58,516535.35,0.0,0.0,0.0,0.0,216427.95,2039.0,201443.37,361880.87,0.0,51161.05,0.0,0.0,0.0,94892.0,0.0,0.0,786484.49,0.0,2287002.66,2003
